epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,31.8041,0.75359,0.97508,1.12602,0.83489,0.48676,0.51139,0.26273,1.76071,2.18465,1.43556,1.52077e-05,1.52077e-05,1.52077e-05
88,32.1699,0.76481,1.00789,1.17946,0.83957,0.48764,0.51341,0.25621,1.7617,2.19961,1.44114,1.43596e-05,1.43596e-05,1.43596e-05
89,32.5086,0.69414,0.57689,1.09933,0.83957,0.48764,0.51341,0.25621,1.7617,2.19961,1.44114,1.34879e-05,1.34879e-05,1.34879e-05
90,32.8582,0.92616,0.88833,1.33225,0.83957,0.48764,0.51341,0.25621,1.7617,2.19961,1.44114,1.25927e-05,1.25927e-05,1.25927e-05
91,33.6076,0.54002,0.48603,0.89835,0.83957,0.48764,0.51341,0.25621,1.7617,2.19961,1.44114,1.16739e-05,1.16739e-05,1.16739e-05
92,34.0396,0.58954,0.48767,1.18631,0.8366,0.48585,0.51999,0.26647,1.77603,2.16798,1.44989,1.07315e-05,1.07315e-05,1.07315e-05
93,34.4122,0.59189,0.52679,0.89153,0.8366,0.48585,0.51999,0.26647,1.77603,2.16798,1.44989,9.76562e-06,9.76562e-06,9.76562e-06
94,34.7719,0.67084,0.63234,1.09109,0.8366,0.48585,0.51999,0.26647,1.77603,2.16798,1.44989,8.77613e-06,8.77613e-06,8.77613e-06
95,35.1256,0.50979,0.49179,0.80872,0.8366,0.48585,0.51999,0.26647,1.77603,2.16798,1.44989,7.76308e-06,7.76308e-06,7.76308e-06
96,35.4942,0.62371,0.53839,0.96851,0.66995,0.47301,0.54379,0.28412,1.79204,2.06596,1.44205,6.72648e-06,6.72648e-06,6.72648e-06
97,35.848,0.74175,0.79154,0.93985,0.66995,0.47301,0.54379,0.28412,1.79204,2.06596,1.44205,5.6663e-06,5.6663e-06,5.6663e-06
98,36.2056,0.45345,0.54961,0.89547,0.66995,0.47301,0.54379,0.28412,1.79204,2.06596,1.44205,4.58257e-06,4.58257e-06,4.58257e-06
99,36.5658,0.49331,0.47885,0.91667,0.66995,0.47301,0.54379,0.28412,1.79204,2.06596,1.44205,3.47528e-06,3.47528e-06,3.47528e-06
100,36.9431,0.49563,0.43455,0.90194,0.66184,0.50188,0.62305,0.3548,1.75277,1.92966,1.42566,2.34442e-06,2.34442e-06,2.34442e-06
